start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,bridge,width,maxspeed,tunnel
4523960189,4523960191,96.48400000000001,"[456118771, 1190032493]",True,2,Rua Dom Frei Vicente da Soledade e Castro,residential,False,"LINESTRING (-8.5992641 41.1778975, -8.5991452 41.1778648, -8.5989441 41.1778042, -8.5985298 41.1776875, -8.5982521 41.17761, -8.5981844 41.1776263)",,,,
4523960191,2185792256,98.848,667439829,False,,Rua Dom Frei Vicente da Soledade e Castro,residential,False,"LINESTRING (-8.5981844 41.1776263, -8.5980733 41.1775929, -8.5970814 41.1773085)",,,,
2185792256,4282469042,162.91100000000003,455315129,False,,,residential,False,"LINESTRING (-8.5970814 41.1773085, -8.5971211 41.1772271, -8.5971394 41.1771893, -8.5971732 41.1771255, -8.5971759 41.1770879, -8.5971736 41.1770591, -8.5971608 41.1770316, -8.59713 41.176991, -8.5965674 41.1766302, -8.596501 41.1765857, -8.5964654 41.1765423, -8.5964461 41.1765033, -8.59644 41.1762599, -8.5964383 41.1762093, -8.5964343 41.1760922)",,,,
4282469042,4282469037,82.71600000000001,461925686,False,,Rua do Doutor Júlio de Matos,residential,False,"LINESTRING (-8.5964343 41.1760922, -8.595981 41.1761149, -8.5958255 41.1760963, -8.5956689 41.1760471, -8.595615 41.1760302, -8.5954971 41.1759623)",,,,
4282469037,4282469015,76.547,429123181,False,,Rua do Doutor Júlio de Matos,residential,False,"LINESTRING (-8.5954971 41.1759623, -8.5954566 41.1758086, -8.5954324 41.1757397, -8.5954173 41.1757139, -8.5953893 41.1756954, -8.5953526 41.1756863, -8.595303 41.1756832, -8.5950371 41.1756851, -8.5948554 41.1756709)",,,,
4282469015,432578831,61.93,461925686,False,,Rua do Doutor Júlio de Matos,residential,False,,,,,
432578831,432578922,369.5589999999999,37141982,False,,,residential,False,"LINESTRING (-8.5941911 41.1754256, -8.5943094 41.1750868, -8.5945157 41.1745833, -8.5945616 41.1744782, -8.5946236 41.1743771, -8.5948228 41.1740779, -8.5949944 41.1737279, -8.595182 41.1733132, -8.5952904 41.1731596, -8.5957461 41.1725471, -8.5957971 41.1724933, -8.5958461 41.1724456, -8.595894 41.1724197, -8.5959338 41.1724091)",,,,
432578922,411835384,50.74200000000001,461925689,False,,Rua do Actor Ferreira da Silva,residential,False,"LINESTRING (-8.5959338 41.1724091, -8.5959874 41.1724093, -8.596037 41.1724217, -8.5963548 41.1725719, -8.5963846 41.1725883, -8.5964557 41.1726276)",,,,
411835384,4455723303,73.549,35997812,True,,Rua do Mondego,residential,False,"LINESTRING (-8.5964557 41.1726276, -8.5965547 41.172593, -8.5967883 41.1725112, -8.5970046 41.1724393, -8.5970773 41.1724149, -8.5972563 41.172355)",,,,
4455723303,411835382,23.499,35997812,True,,Rua do Mondego,residential,False,,,,,
411835382,411835470,61.519000000000005,35997812,True,,Rua do Mondego,residential,False,"LINESTRING (-8.5975134 41.1722701, -8.5976055 41.1722382, -8.5979133 41.1721315, -8.598181 41.1720387)",,,,
411835470,411504965,236.284,"[206843931, 35078502, 958152519]",False,2,Rua do Doutor Manuel Laranjeira,tertiary,True,"LINESTRING (-8.598181 41.1720387, -8.5980474 41.1718124, -8.5977127 41.1712477, -8.5976901 41.1711824, -8.5975794 41.1708617, -8.5975577 41.1707987, -8.5972921 41.1700292)",yes,,,
411504965,2168903806,41.315,35078498,True,2,Rua do Doutor Manuel Laranjeira,tertiary,False,"LINESTRING (-8.5972921 41.1700292, -8.597329 41.1697912, -8.5973632 41.1696618)",,,,
2168903806,2168903802,6.146,434878397,False,,Rua de Augusto Lessa,residential,False,,,,,
2168903802,343646683,158.126,"[1172588825, 30912870]",False,3,Rua de Aval de Baixo,residential,False,"LINESTRING (-8.5972898 41.1696602, -8.597304 41.1695567, -8.5973531 41.1692117, -8.5973698 41.1690957, -8.5974553 41.1685979, -8.5975736 41.1683866, -8.597633 41.1682719)",,,,
343646683,343646684,142.636,30912870,False,,Rua de Aval de Baixo,residential,False,,,,,
343646684,343634635,81.065,30912873,False,,Rua de Óscar da Silva,residential,False,"LINESTRING (-8.5981991 41.167062, -8.5981046 41.1670315, -8.5972933 41.1668043)",,,,
343634635,406359726,67.019,34628269,True,,Rua Doutor Joaquim Pires de Lima,residential,False,"LINESTRING (-8.5972933 41.1668043, -8.5974285 41.1665111, -8.5975254 41.166228)",,,,
406359726,299575942,28.628,1186568754,True,,Rua Doutor Joaquim Pires de Lima,residential,False,"LINESTRING (-8.5975254 41.166228, -8.5975639 41.1661869, -8.5976924 41.1660037)",,,,
299575942,299610705,70.164,1172588827,False,2,Rua de Costa Cabral,secondary,True,"LINESTRING (-8.5976924 41.1660037, -8.5980128 41.1659131, -8.5983749 41.1657728, -8.5984464 41.1657333)",,,,
299610705,3897692280,7.122,1083211594,False,2,Rua de Costa Cabral,secondary,True,,,,,
3897692280,1387283703,18.715,675897037,False,2,Rua da Alegria,secondary,True,"LINESTRING (-8.5985204 41.1657017, -8.5985915 41.1655805, -8.5986056 41.1655463)",,,,
1387283703,773982493,13.93,1083175719,False,2,Rua da Alegria,secondary,True,,,,,
773982493,411842524,117.496,27292882,False,2,Rua da Alegria,secondary,True,"LINESTRING (-8.5986596 41.1654278, -8.598688 41.1653695, -8.598778 41.1651716, -8.5990253 41.164528, -8.5990691 41.1644174)",,,,
411842524,299611722,134.608,27292882,False,2,Rua da Alegria,secondary,True,"LINESTRING (-8.5990691 41.1644174, -8.5995014 41.1633861, -8.5995483 41.1632619)",,,,
