start_node,end_node,key,osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed,junction,bridge,width,tunnel
2165604353,475082799,0,453761206,True,3,Rua de Damião de Góis,secondary,False,7.092,,,,,,
479183873,5297703224,0,1030031001,False,4,Rua do Campo Alegre,secondary,True,80.263,"LINESTRING (-8.6344234 41.1524621, -8.6343718 41.1524692, -8.6341695 41.1524971, -8.6339491 41.1525251, -8.6335704 41.1525732, -8.6335202 41.1525796, -8.633479 41.1525859)",,,,,
479183873,479183608,0,"[128363658, 1169722591]",False,3,Rua do Campo Alegre,secondary,False,267.474,"LINESTRING (-8.6344234 41.1524621, -8.6345977 41.1524387, -8.6347003 41.1524249, -8.6348243 41.1524083, -8.6350234 41.1524096, -8.6355022 41.152436, -8.6359434 41.1524604, -8.6362346 41.1525246, -8.6363837 41.1525575, -8.6366768 41.1526253, -8.6368042 41.1526548, -8.6373324 41.1527828, -8.63737 41.1527919, -8.6375345 41.1528317)",50,,,,
1110673414,335561971,0,30405564,True,,Rua de Ricardo Severo,residential,False,177.965,"LINESTRING (-8.6248951 41.1571731, -8.624919 41.1571011, -8.6250592 41.1566306, -8.6253268 41.1557475, -8.6253677 41.1556127)",,,,,
9401053197,4381093226,0,1019264548,True,2,,secondary,False,8.459,"LINESTRING (-8.6079369 41.1770267, -8.6079906 41.1770291, -8.6080362 41.1770197)",,roundabout,,,
1243857944,122432566,0,1051517428,False,2,Rua de Pedro Hispano,secondary,False,59.743,"LINESTRING (-8.6353455 41.1628208, -8.6354235 41.1627831, -8.6359462 41.1625307)",,,,,
137993249,1216789894,0,13797599,False,2,Rua de Antero de Quental,secondary,False,127.028,"LINESTRING (-8.6115801 41.1606857, -8.611647 41.1604019, -8.6117323 41.1600184, -8.6117894 41.1597375, -8.6118201 41.1595983, -8.6118316 41.1595592)",,,,,
122432550,12148105774,0,13262695,True,3,Rua de Pedro Hispano,secondary,False,93.621,"LINESTRING (-8.6308069 41.1650366, -8.6316345 41.1646726, -8.6316776 41.1646537, -8.6317726 41.1646119)",,,,,
475082799,5865201872,0,"[1174565664, 453761206]",True,3,Rua de Damião de Góis,secondary,False,98.786,"LINESTRING (-8.6142332 41.1620717, -8.6138807 41.1620271, -8.6130674 41.1619342)",,,,,
122432560,122434048,0,"[211561641, 1020088533]",True,1,Rua de Pedro Hispano,secondary,False,143.34,"LINESTRING (-8.6336666 41.1637296, -8.6338338 41.1636238, -8.6349653 41.163044, -8.6349924 41.1630294, -8.6350672 41.1629893)",,,yes,,
122432561,1243857944,0,1051517428,False,2,Rua de Pedro Hispano,secondary,False,14.149,,,,,,
4473265202,444017071,0,34628257,False,,Rua de Augusto Lessa,tertiary,False,216.921,"LINESTRING (-8.6021352 41.1698873, -8.601967 41.1698792, -8.6003417 41.1697991, -8.599941 41.1697794, -8.5995487 41.1697666)",,,,,
122432566,343646781,0,1051517428,False,2,Rua de Pedro Hispano,secondary,False,172.548,"LINESTRING (-8.6359462 41.1625307, -8.6376397 41.1618333, -8.6377548 41.1617864)",,,,,
128588858,128580161,0,13798291,True,2,,secondary_link,False,132.47299999999998,"LINESTRING (-8.6043711 41.1725769, -8.6045266 41.1726801, -8.6046446 41.1727497, -8.6047532 41.1728093, -8.604886 41.1728699, -8.6050536 41.1729224, -8.6052186 41.1729698, -8.6053447 41.1729991, -8.6054144 41.1730243, -8.6054882 41.1730607, -8.6055338 41.1730819, -8.6055807 41.1731081, -8.6056921 41.1732029)",,,,,
128566335,128560437,0,13797704,False,3,Praça de Nove de Abril,secondary,False,84.221,"LINESTRING (-8.6127436 41.1718292, -8.6127544 41.1717464, -8.6128154 41.1712961, -8.6128402 41.1710753)",,,,,
128566335,5258500725,0,228569586,False,2,Rua de Monsanto,tertiary,False,51.577,"LINESTRING (-8.6127436 41.1718292, -8.6128427 41.1718284, -8.6132224 41.1718248, -8.6133596 41.1718197)",,,,,
8091600965,343646709,0,30912883,True,1,Rua de Antero de Quental,tertiary,False,148.43699999999998,"LINESTRING (-8.6109324 41.1654481, -8.6109341 41.1656206, -8.6109268 41.1657322, -8.6108909 41.1667199, -8.6108886 41.1667825)",,,,,
411835470,445439284,0,958152519,False,2,Rua do Doutor Manuel Laranjeira,tertiary,False,47.562,"LINESTRING (-8.598181 41.1720387, -8.5982103 41.1720884, -8.5984117 41.1724296)",,,,,
411835470,411504965,0,"[206843931, 35078502, 958152519]",False,2,Rua do Doutor Manuel Laranjeira,tertiary,True,236.284,"LINESTRING (-8.598181 41.1720387, -8.5980474 41.1718124, -8.5977127 41.1712477, -8.5976901 41.1711824, -8.5975794 41.1708617, -8.5975577 41.1707987, -8.5972921 41.1700292)",,,yes,,
