start_node,end_node,length,osmid,oneway,lanes,name,highway,width,reversed,geometry,maxspeed,bridge,tunnel
412248019,432578781,160.219,"[704870100, 1028339895]",False,3,Rua do Doutor Roberto Frias,secondary,,False,"LINESTRING (-8.600181 41.1758899, -8.6001733 41.1760053, -8.6001511 41.1761223, -8.6000982 41.1762672, -8.6000095 41.1764594, -8.5997431 41.1769697, -8.5996828 41.1770887, -8.5995986 41.1772548)",,,
425725651,343646649,116.76100000000001,212708374,True,3,Rua de Faria Guimarães,secondary,,False,"LINESTRING (-8.6062487 41.164361, -8.6062598 41.1644659, -8.6063496 41.165314, -8.6063584 41.1654078)",,,
432578781,4523960189,76.754,704870100,False,3,Rua do Doutor Roberto Frias,secondary,,False,"LINESTRING (-8.5995986 41.1772548, -8.5993019 41.1778217, -8.5992641 41.1778975)",,,
432578781,412248019,160.219,"[704870100, 1028339895]",False,3,Rua do Doutor Roberto Frias,secondary,,True,"LINESTRING (-8.5995986 41.1772548, -8.5996828 41.1770887, -8.5997431 41.1769697, -8.6000095 41.1764594, -8.6000982 41.1762672, -8.6001511 41.1761223, -8.6001733 41.1760053, -8.600181 41.1758899)",,,
444011318,3554953651,5.522,37856053,False,2,Rua do Arquitecto Lobão Vital,residential,,True,,,,
444011318,1548554599,149.436,37856053,False,2,Rua do Arquitecto Lobão Vital,residential,,False,"LINESTRING (-8.6058055 41.1746208, -8.6057717 41.1749494, -8.6057675 41.17498, -8.6057365 41.1752078, -8.6057512 41.1755597, -8.6058122 41.1757149, -8.6059768 41.1759212)",,,
475052386,25632361,181.883,"[1172502989, 30405423]",True,2,Rua da Torrinha,residential,4,False,"LINESTRING (-8.6229114 41.152802, -8.6216068 41.1526952, -8.6209227 41.1526347, -8.6207549 41.1526088)",,,
478902811,1353874575,55.24,39896043,True,1,Via Panorâmica,tertiary,,False,"LINESTRING (-8.6336171 41.1509349, -8.6334473 41.1510276, -8.6333269 41.1511083, -8.6331114 41.1512531)",,,
478902811,297880533,172.799,"[167487385, 1070648070, 1070648071]",False,2,Via Panorâmica,tertiary,,False,"LINESTRING (-8.6336171 41.1509349, -8.6336973 41.1508768, -8.6340006 41.1506867, -8.6340709 41.1506027, -8.6341377 41.1504997, -8.6341989 41.1502556, -8.6342599 41.1500883, -8.6343641 41.1499327, -8.6344484 41.1498434, -8.634545 41.1497542, -8.6346323 41.1497019, -8.6346888 41.1496681)",30,,
478927788,4554424112,47.81,39896732,False,,,tertiary,,True,"LINESTRING (-8.6370336 41.1499125, -8.637278 41.1499212, -8.6374252 41.1499601, -8.6375675 41.1500306)",,,
