start_node,end_node,length,osmid,oneway,lanes,name,highway,reversed,geometry,bridge,maxspeed,junction
343646748,343646736,137.812,448568808,True,1,Rua de Monsanto,tertiary,False,"LINESTRING (-8.6180107 41.1717345, -8.6188074 41.1716202, -8.6189269 41.1715867, -8.6190509 41.1715217, -8.6191816 41.171428, -8.6194552 41.1712335)",,,
343646749,343646748,131.912,448568808,True,1,Rua de Monsanto,tertiary,False,"LINESTRING (-8.6164434 41.1718034, -8.6175091 41.1718051, -8.6180107 41.1717345)",,,
343646753,4598508648,100.251,868014850,False,2,Rua de Monsanto,tertiary,True,"LINESTRING (-8.6201887 41.17075, -8.6203029 41.1706814, -8.6203696 41.1706439, -8.6211481 41.1702104)",,,
343646753,343646736,81.724,"[1174461329, 1174461330]",False,"['2', '3']",Rua de Monsanto,tertiary,False,"LINESTRING (-8.6201887 41.17075, -8.6199979 41.1708631, -8.6197473 41.1710344, -8.6196666 41.1710979, -8.6195756 41.1711646, -8.6194552 41.1712335)",,,
343646772,122432560,85.537,212711376,True,2,Rua de Pedro Hispano,secondary,False,"LINESTRING (-8.6327818 41.1641134, -8.6330597 41.1640074, -8.6336666 41.1637296)",yes,,
343646781,5284452787,341.76700000000005,167487356,False,2,Rua de Pedro Hispano,secondary,False,"LINESTRING (-8.6377548 41.1617864, -8.637807 41.1617646, -8.6378617 41.1617414, -8.638474 41.1614858, -8.6386757 41.1614015, -8.6389029 41.1613074, -8.6389461 41.1612893, -8.6391595 41.1611993, -8.6404953 41.1606595, -8.6412911 41.160338, -8.6413419 41.1603191)",,,
343646781,122432566,172.548,1051517428,False,2,Rua de Pedro Hispano,secondary,True,"LINESTRING (-8.6377548 41.1617864, -8.6376397 41.1618333, -8.6359462 41.1625307)",,,
412246600,5198412994,38.161,440389519,True,1,Rua Doutor António Bernardino de Almeida,secondary,False,"LINESTRING (-8.6063233 41.1785504, -8.6063919 41.1784786, -8.6064186 41.1784506, -8.6064326 41.1784359, -8.6065315 41.1782479)",,,
416011692,2689537165,10.646,741767470,False,2,Rua de Monsanto,tertiary,False,,,,
416011692,10913198202,27.999,741767470,False,2,Rua de Monsanto,tertiary,True,"LINESTRING (-8.6216055 41.1698496, -8.6216197 41.169816, -8.6217067 41.1696096)",,,
420776943,4523960189,7.956,1267564167,False,3,Rua do Doutor Roberto Frias,secondary,True,,,,
420776943,3554953676,44.44499999999999,316459169,True,2,Rua Doutor Roberto Frias,secondary,False,"LINESTRING (-8.5992274 41.1779635, -8.5990414 41.1783219, -8.5990345 41.1783359)",,,
428214900,311889356,85.119,1016617006,True,2,Rua de António Cardoso,tertiary,False,,,,
430006697,412246600,212.541,26248559,True,2,Rua Doutor António Bernardino de Almeida,secondary,False,"LINESTRING (-8.6051506 41.1802304, -8.6052271 41.1800746, -8.6054628 41.179595, -8.605655 41.1792787, -8.6058082 41.1790825, -8.6060556 41.1788155, -8.6061012 41.1787655, -8.6061162 41.1787504, -8.6061659 41.1787024, -8.6063233 41.1785504)",,50,
435240919,2084091557,22.722,35104970,True,1,Rua de Leonardo Coimbra,residential,False,,,,
444011313,4381093236,11.126,440389517,True,2,,secondary,False,"LINESTRING (-8.608115 41.1769383, -8.6081135 41.1769049, -8.6080981 41.1768737, -8.6080705 41.1768476)",,,roundabout
479183225,311889489,56.262,224646232,False,3,Rua do Campo Alegre,secondary,False,"LINESTRING (-8.641801 41.1538865, -8.642236 41.1540155, -8.6422632 41.1540236, -8.6423882 41.1540607, -8.6424267 41.154071)",,,
479183225,311889376,136.41199999999998,224646232,False,3,Rua do Campo Alegre,secondary,True,"LINESTRING (-8.641801 41.1538865, -8.640814 41.1536068, -8.640383 41.1535, -8.6402681 41.1534715)",,,
479183608,311889375,108.14600000000002,1016392202,False,3,Rua do Campo Alegre,secondary,False,"LINESTRING (-8.6375345 41.1528317, -8.6376612 41.1528629, -8.6381943 41.1529858, -8.6385465 41.1530634, -8.6385893 41.1530728, -8.6387697 41.153116)",,,
1216466439,1837918508,216.99099999999999,212710688,False,2,Rua de Pedro Hispano,tertiary,True,"LINESTRING (-8.6276843 41.1662903, -8.6286767 41.1659824, -8.6299878 41.1654052)",,,
1225943158,126592365,18.063,104179543,False,3,Rua da Prelada,secondary,False,"LINESTRING (-8.6264102 41.1669453, -8.6264167 41.1668738, -8.626429 41.1667835)",,,
1243857944,122432561,14.149,1051517428,False,2,Rua de Pedro Hispano,secondary,True,,,,
1243857944,122432566,59.743,1051517428,False,2,Rua de Pedro Hispano,secondary,False,"LINESTRING (-8.6353455 41.1628208, -8.6354235 41.1627831, -8.6359462 41.1625307)",,,
1264279362,428214900,126.219,28394276,True,2,Rua de António Cardoso,tertiary,False,"LINESTRING (-8.6406313 41.1597917, -8.6406504 41.1597335, -8.6408271 41.159134, -8.6409629 41.1586844)",,,
1537859379,311889489,248.331,"[1174863228, 1016567884]",True,2,Rua de António Cardoso,tertiary,False,"LINESTRING (-8.6417276 41.156241, -8.6417503 41.1561555, -8.6417956 41.1559852, -8.6419636 41.1554415, -8.6422921 41.1544695, -8.6423815 41.1542132, -8.6423952 41.1541739, -8.6424267 41.154071)",,,
1788788654,343646735,39.511,193149514,False,3,Praça do Exército Libertador,secondary,False,"LINESTRING (-8.6256232 41.1669453, -8.6254201 41.1669969, -8.6253926 41.1670039, -8.625176 41.167059)",,,
1788788654,1225943158,65.879,"[106572534, 1187724078]",True,"['2', '1']",Rua da Prelada,secondary,False,"LINESTRING (-8.6256232 41.1669453, -8.6257488 41.166946, -8.6259021 41.1669473, -8.6261595 41.1669463, -8.6262249 41.166946, -8.6264102 41.1669453)",,,
1837918508,122432550,80.29499999999999,30912908,True,,Rua de Pedro Hispano,tertiary,False,"LINESTRING (-8.6299878 41.1654052, -8.6302002 41.1653306, -8.6303219 41.1652777, -8.6303632 41.1652598, -8.6306988 41.1651139, -8.6308069 41.1650366)",,,
1837918508,1216466439,216.99099999999999,212710688,False,2,Rua de Pedro Hispano,tertiary,False,"LINESTRING (-8.6299878 41.1654052, -8.6286767 41.1659824, -8.6276843 41.1662903)",,,
2084091557,2605287683,113.87,"[35104970, 26248563, 26248567]",True,1,Rua de Leonardo Coimbra,residential,False,"LINESTRING (-8.6098379 41.1745592, -8.6098781 41.1745085, -8.6099316 41.1744411, -8.6103814 41.1739403, -8.6103807 41.1736583)",yes,,
2486710547,2486710615,146.94,"[35104968, 1176987147]",True,"['2', '1']",Praça de Nove de Abril,residential,False,"LINESTRING (-8.6110801 41.1726391, -8.6111859 41.1726469, -8.6117712 41.1726902, -8.6119992 41.1727074, -8.6127164 41.1727596, -8.6128275 41.1727662)",,,
2486710547,287458449,60.426,35104969,False,2,Rua de Delfim Maia,residential,True,"LINESTRING (-8.6110801 41.1726391, -8.6109755 41.1726582, -8.6104543 41.1727534, -8.6103785 41.1727672)",,,
2486710615,128566335,106.03399999999999,448867800,False,3,Praça de Nove de Abril,secondary,False,"LINESTRING (-8.6128275 41.1727662, -8.6127763 41.1726291, -8.6127021 41.1724406, -8.612682 41.1722618, -8.612725 41.1719342, -8.6127436 41.1718292)",,,
2605287683,287458449,99.086,26248567,True,1,Rua de Leonardo Coimbra,residential,False,"LINESTRING (-8.6103807 41.1736583, -8.6103787 41.1728373, -8.6103785 41.1727672)",,,
2689537165,416011692,10.646,741767470,False,2,Rua de Monsanto,tertiary,True,,,,
2689537165,4598508646,22.102,868014850,False,2,Rua de Monsanto,tertiary,False,"LINESTRING (-8.6215496 41.1699356, -8.6214728 41.1700002, -8.6213604 41.1700737)",,,
3554953676,3554953679,23.813000000000002,349643887,True,,Rua Doutor Plácido da Costa,tertiary,False,"LINESTRING (-8.5990345 41.1783359, -8.5990898 41.178435, -8.5991763 41.1785195)",,,
3554953679,430006697,534.9990000000001,36979228,True,2,Rua Doutor Plácido da Costa,tertiary,False,"LINESTRING (-8.5991763 41.1785195, -8.5995405 41.1786298, -8.6000277 41.1787773, -8.6002653 41.1788492, -8.6011317 41.1790929, -8.6012828 41.1791371, -8.6030978 41.1796526, -8.6043216 41.1799983, -8.6043502 41.1800082, -8.6044853 41.1800466, -8.6048478 41.1801466, -8.6049018 41.1801621, -8.6049463 41.1801743, -8.605022 41.1801952, -8.6050598 41.1802052, -8.6051506 41.1802304)",,,
3694392908,4455723345,46.309,35475028,False,2,Rua da Natária,tertiary,True,,,,
3694392908,343646735,39.259,35475028,False,2,Rua da Natária,tertiary,False,"LINESTRING (-8.62473 41.1671682, -8.6250381 41.1670928, -8.625176 41.167059)",,,
4381093226,444011313,11.629,"[1019264549, 1019264550]",True,2,,secondary,False,"LINESTRING (-8.6080362 41.1770197, -8.608075 41.1769993, -8.6080881 41.1769854, -8.6081024 41.1769703, -8.608115 41.1769383)",,,roundabout
4381093236,4381093242,22.296,440389516,True,1,Rua Doutor António Bernardino de Almeida,secondary,False,"LINESTRING (-8.6080705 41.1768476, -8.608053 41.1767954, -8.6080369 41.1767157, -8.6080198 41.1766509)",,,
4381093242,4573598284,72.774,"[141476900, 536710725]",False,2,Rua Doutor António Bernardino de Almeida,secondary,False,"LINESTRING (-8.6080198 41.1766509, -8.6080338 41.1766115, -8.6080585 41.1765418, -8.6082411 41.1760442, -8.6082501 41.1760198)",,50,
4455723336,9401053197,21.953000000000003,440117023,True,1,Rua Doutor António Bernardino de Almeida,secondary,False,"LINESTRING (-8.6076941 41.1771014, -8.6078333 41.1770585, -8.6078866 41.1770421, -8.6079369 41.1770267)",,,
